source_file,excel_row,approval,start_date,end_date,marketing_channel,campaign_name_description,discount_level,code_type,unique_code_count,vanity_code,auto_or_manual,new_customer_only,exclusions,combinable,stackable_with_loyalty,campaign_id,disclaimer_details,notes,completed,inferred_scope,max_discount_percent
COUPON TRACKER_20260817.xlsx,12,Yes confirmed 1/3,2024-01-23,2024-02-03,Paid Social,New Custmer 25% Off - Paid Social Prospecting,Order Level,Vanity,Vanity,Vanity,Manually Applied,Yes,"Clearance, Final Sale",No,No,SPR24-PAIDSOCIAL-NEWYEAR25,"Extra 25% off your purchase for New Customers only with code NEWYEAR25. Valid through 2/3/24 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes.To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers or Hanna Rewards. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,25.0
COUPON TRACKER_20260817.xlsx,17,Yes confirmed 1/3,2024-01-28,2025-01-25,Personal Shopper VIP Cards,10% off Entire Order,Order Level,Unique,Unique,Unique,Manually Applied,No,,No,Yes,SPR24-CCC-PSHOPPERVIP,"10% off your entire order with code. Valid through 1/25/25 at 11:59pm PST. Discount taken with code at checkout. Cannot be combined with other offers, codes, or applied to previous purchases. One use per customer. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.","Creative request submitted for actual VIP cards to be briefed, copy created for submission to printers. Each VIP Card will have a unique code for PS and/or Hannas to hand out (ideally new customer aquisition. Codes should be passed off to Audrey Younna.",Yes,,10.0
COUPON TRACKER_20260817.xlsx,13,Yes confirmed 1/3,2024-02-01,2025-01-31,Influencer,Ambassador - 15% Off Entire Order,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,,No,Yes,,,,,,15.0
COUPON TRACKER_20260817.xlsx,15,Yes confirmed 1/3 - CANCELLED PH,2024-02-01,2024-05-03,Influencer,Paid Influencers - 15% Off Entire Order,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance, Final Sale",No,Yes,,,,,Clearance,15.0
COUPON TRACKER_20260817.xlsx,20,Yes confirmed 1/17,2024-02-01,2024-05-01,Partner/vendor codes,20% code for select Hanna marketing vendor/partner usage,Order Level,Unique,Unique,Unique,Manually Applied,No,"Final Sale, Sitewide Sale, Clearance",No,No,SP24-PARTNER-VENDOR20,"Extra 20% off your with code. Valid through 5/1/24 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offer, Hanna Rewards, or sitewide sales. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance|Sitewide,20.0
COUPON TRACKER_20260817.xlsx,23,Cancelled Rqst,2024-02-06,2024-02-15,Email,EXTRA 20% off Best-Sellers,Product Level,Unique,Unique,Unique,Manually Applied,No,"Clearance, Final Sale",No,No,,,,,Clearance,20.0
COUPON TRACKER_20260817.xlsx,22,Yes confirmed 1/25,2024-02-12,2024-02-15,Influencer,15% Off Entire Order,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance, Final Sale",No,Yes,SP24_INFLUENCERS_ALL,"Discount taken with code at checkout. Valid through 2/24/24 at 11:59PM PST. Offer valid online only. Not valid on select items: clearance, final sale, and gift cards. To redeem, enter code in the promo code box during checkout. Limit of one promo code per order. Cannot be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Not valid on international orders. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,24,Yes confirmed 1/29,2024-02-16,2024-02-19,Site,President's Day Sale: 25% off All*,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Final Sale, Baby Bundles",No,Yes,SP24_SITE_PRESSALE_WKND25,"25% off entire order with code WKND25. Valid through 2/19/2024 at 11:59PM PST. Code must be applied in cart for discount. Exclusions apply including Final Sale. Not valid with other offers or codes. Cannot be applied to previous purchases, no price adjustments. Offer does not apply to shipping or taxes. Not redeemable for gift cards, cash, or credit. Hanna Andersson reserves the right to modify or cancel this offer at any time.",Code on Site (not auto-applied). Excluding final sale + baby bundles,Yes,Clearance|Baby,25.0
COUPON TRACKER_20260817.xlsx,26,Yes confirmed 2/13/24,2024-02-21,2024-02-26,Influencer,15% Off Entire Order,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance, Final Sale",No,Yes,SP24_INFLUENCERS_FEB,"Extra 15% off your purchase. Valid through 2/26/24 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Not valid to international customers. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,25,Yes confirmed 2/13/24,2024-02-22,2024-02-26,Influencer,15% Off Entire Order,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance, Final Sale",No,Yes,SP24_INFLUENCERS_FEB,"Extra 15% off your purchase. Valid through 2/26/24 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Not valid to international customers. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,14,Cancelled Rqst,2024-03-04,2024-04-30,Brand Partnerships,Tencel Partners - 20% off Tencel First Order,Product Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance, Final Sale",,,,,,,Clearance,20.0
COUPON TRACKER_20260817.xlsx,16,Cancelled Rqst,2024-03-04,2024-04-30,Influencer,Tencel Partners - 20% off Tencel First Order,Product Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance, Final Sale",No,Yes,,,,,Clearance,20.0
COUPON TRACKER_20260817.xlsx,19,Yes confirmed 1/17,2024-03-05,2025-06-01,Brand/Product Bundles,Baby Bundle Inserts (incremental for Tencel creative)- 20% off New Customers,Order Level,Unique,Unique,Unique,Manually Applied,Yes,"Final Sale, Sitewide sale, Clearance (mirror New Customer)",No,No,SP24-BRAND-TENCELBABYBUNDLES,"20% off first order with code. Discount taken with code entry at checkout. One time use only. Cannot be applied to previous purchases, Final Sale, or Clearance. Not eligible during sitewide sales. Valid through 6/1/25. Not valid on select items: giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one promo code per order, cannot be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance|Baby|Sitewide,20.0
COUPON TRACKER_20260817.xlsx,27,Yes confirmed 2/28/24,2024-03-06,2024-04-06,Influencer,15% Off Entire Order,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance, Final Sale",No,Yes,SP24_INFLUENCERS_MARCH,"Extra 15% off your purchase. Valid through 4/6/24 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Not valid to international customers. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,77,Yes confirmed 3/7/24,2024-03-07,2024-03-11,Affiliate,End of February Last-Minute Affiliate Promo - 25% off your order,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP24-AFFILIATE-MARCH25,"25% off entire order. Valid through 3/11/24 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Not valid on clearance, final sale, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Cannot be combined with other codes. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,25.0
COUPON TRACKER_20260817.xlsx,76,Yes confirmed 3/7/24,2024-03-18,2024-04-18,Affiliate,"Affiliate New Customer Offer - 30% for new only, unique codes given to our top 10 affiliate partners",Order Level,Vanity,Vanity,Vanity,Manually Applied,Yes,"Exclude final sale, only applicable for new cusotmers",No,Yes,SP24-AFFILIATE-30FORNEW,"30% off Your Purchase For New Customers only: Valid on a single purchase through 11:59pm PT on 4/18/2024. Apply your unique code at checkout. Offer cannot be combined with additional coupon offers. Cannot be applied to previous purchase, no price adjustments. Not valid on select items: final sale, shipping or taxes. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,30.0
COUPON TRACKER_20260817.xlsx,29,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: chantelle_frank,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,30,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: mytribeof.3,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,31,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: rachelamyowens,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,32,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: dietcokeanddiapers,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,33,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: shelbsbarlow,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,34,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: lauren_loves_gifting,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,35,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: alinapagura,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,36,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: nycmamaplus2,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,37,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: twoboys.thentwins,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,38,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: anniemgoldade,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,39,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: daily_dig,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,40,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: mrs.lilymonroe,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,41,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: vegangirlbawse,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,42,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: kenzietwomack,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
COUPON TRACKER_20260817.xlsx,43,Yes confirmed 3/7/24,2024-03-22,2025-01-06,Influencer,Ambassador Program: mrsabbys,Order Level,Vanity,Vanity,Vanity,Manually Applied,No,"Clearance and Final Sale; 1-time use per customer, not stackable",No,Yes,SP2024-TC-AMBASSADOR-15OFF,"Extra 15% off your purchase. Valid through 1/6/25 at 11:59 pm PST. Discount taken with code at checkout. Cannot be combined with other offers or applied to previous purchases. Excludes Hanna-Me-Downs resale transactions. Not valid on final sale, clearance, giftcards, shipping or taxes. To redeem, enter code in the promo code box during checkout. Limit of one use per customer, can not be combined with other offers. Not redeemable for gift cards, cash, credit, or towards previous purchases. Hanna Andersson reserves the right to modify or cancel this offer at any time.",,Yes,Clearance,15.0
